Star Name,Radec,Decdec
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
V392 Per,70.83750000,47.35694444
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
SDSS J141118.31+481257.6,212.82500000,48.21583333
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
N Sct 2018,277.34166667,-13.48777778
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
V1490 Cyg,312.72083333,44.35000000
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
ASASSN-18pe,258.83750000,6.00777778
YZ Cet,18.12500000,-15.00111111
GJ 54.1,18.12500000,-15.00111111
TY Cas,9.24583333,63.13361111
TY Cas,9.24583333,63.13361111
FI Per,58.73333333,48.60027778
FI Per,58.73333333,48.60027778
CI Cyg,297.54583333,35.68416667
CT Lac,331.66250000,48.45166667
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
N Oph 2018 No. 3,265.60000000,-19.11444444
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
ASASSN-V J195442.95+172212.6,298.67500000,17.37000000
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
GK Per,52.80000000,43.90416667
EN Sgr,290.67500000,-12.00111111
EN Sgr,290.67500000,-12.00111111
GAIA DR2 4150099732733146112,269.92916667,-12.02444444
